feature,importance
avg_transaction_count_3m,0.20363525177614358
avg_transaction_value_3m,0.025789137479745705
complaints_3m,0.025216564875981548
avg_digital_logins_3m,0.02408959657650915
credit_score,0.015100466367526696
segment,0.013001033487058028
avg_credit_utilization_3m,0.0027077101250571195
product_count,0.0009192322074036557
gender,0.000628401678507598
avg_balance_3m,0.00016229382192860242
total_current_balance_idr,-3.505546553660144e-05
months_on_book,-0.0004271573393161143
avg_fee_revenue_3m,-0.0006121722963148002
age,-0.0012113610868752234
digital_adoption_score,-0.0017027867796750862
city,-0.0020299711246832414
preferred_channel,-0.0027297820848394827
